,length,ppl,label
415,26.0,-336.644053,0
416,17.0,-241.407055,0
417,7.0,-92.056269,0
418,5.0,-68.316513,0
419,32.0,-428.372603,0
420,36.0,-486.694845,0
421,27.0,-332.353544,0
422,16.0,-200.638633,0
423,20.0,-240.852879,0
424,31.0,-365.249747,0
425,23.0,-285.689897,0
426,6.0,-76.752317,0
427,18.0,-235.106135,0
428,16.0,-213.297256,0
429,25.0,-278.420699,0
430,13.0,-175.142395,0
431,17.0,-202.341979,0
432,22.0,-277.283598,0
433,22.0,-276.844722,0
434,32.0,-420.769258,0
435,14.0,-197.15208,0
436,6.0,-83.307054,0
437,18.0,-236.801934,0
438,19.0,-238.538023,0
439,15.0,-194.388525,0
440,7.0,-91.925422,0
441,29.0,-387.682032,0
442,31.0,-398.420363,0
443,24.0,-333.296773,0
444,28.0,-360.364166,0
445,13.0,-181.83996,0
446,33.0,-442.545035,0
447,28.0,-354.141595,0
448,8.0,-100.213863,0
449,14.0,-190.307728,0
450,16.0,-233.078226,0
451,13.0,-181.571819,0
452,10.0,-143.411114,0
453,15.0,-185.4183,0
454,25.0,-328.573762,0
455,24.0,-300.576572,0
456,5.0,-74.951918,0
457,34.0,-445.270379,0
458,31.0,-399.076651,0
459,22.0,-277.809835,0
460,13.0,-181.873918,0
461,38.0,-473.819388,0
462,34.0,-457.442809,0
463,10.0,-162.837744,0
464,20.0,-231.100365,0
465,27.0,-345.969288,0
466,27.0,-384.686719,0
467,16.0,-226.70166,0
468,13.0,-181.94664,0
469,16.0,-219.981977,0
470,41.0,-539.319316,0
471,9.0,-121.930613,0
472,18.0,-237.028987,0
473,28.0,-353.677011,0
474,15.0,-218.123731,0
475,23.0,-285.281241,0
476,15.0,-198.545517,0
477,14.0,-196.478733,0
478,18.0,-230.383919,0
479,16.0,-239.887471,0
480,19.0,-251.944364,0
481,13.0,-188.158459,0
482,14.0,-187.355732,0
483,11.0,-151.694282,0
484,14.0,-183.879932,0
485,25.0,-341.372159,0
486,13.0,-162.048168,0
487,18.0,-243.589516,0
488,4.0,-60.080127,0
489,16.0,-206.70119,0
490,18.0,-237.189401,0
491,16.0,-209.191714,0
492,21.0,-292.392014,0
493,22.0,-266.522256,0
494,15.0,-192.105822,0
495,25.0,-335.436637,0
496,12.0,-166.836171,0
497,35.0,-439.352485,0
498,5.0,-74.967787,0
499,12.0,-147.146545,0
500,21.0,-288.418497,0
501,15.0,-185.341996,0
502,3.0,-40.720318,0
503,17.0,-189.500104,0
504,18.0,-229.819949,0
505,34.0,-409.303794,0
506,36.0,-454.118704,0
507,16.0,-206.678367,0
508,34.0,-415.179548,0
509,18.0,-269.63747,0
510,8.0,-100.180755,0
511,22.0,-267.698227,0
512,25.0,-341.610827,0
513,12.0,-142.276006,0
514,33.0,-422.048754,0
515,20.0,-267.502382,0
