,length,ppl,label
305,9.0,-102.046316,0
306,6.0,-89.852431,0
307,9.0,-101.928071,0
308,29.0,-375.247545,0
309,50.0,-636.845493,0
310,7.0,-91.779609,0
311,20.0,-246.769427,0
312,5.0,-68.223957,0
313,5.0,-68.492481,0
314,37.0,-533.846331,0
315,14.0,-189.822304,0
316,32.0,-387.037565,0
317,17.0,-221.595705,0
318,20.0,-240.38956,0
319,37.0,-481.344812,0
320,35.0,-406.403528,0
321,22.0,-303.172974,0
322,5.0,-74.931765,0
323,22.0,-296.878395,0
324,32.0,-439.973254,0
325,46.0,-629.973181,0
326,26.0,-363.080192,0
327,28.0,-333.914347,0
328,26.0,-315.900512,0
329,32.0,-428.274374,0
330,12.0,-179.60254,0
331,21.0,-261.653627,0
332,30.0,-383.603798,0
333,59.0,-776.281241,0
334,28.0,-372.820115,0
335,15.0,-198.282533,0
336,37.0,-505.212368,0
337,25.0,-349.702422,0
338,35.0,-445.851146,0
339,23.0,-350.889912,0
340,45.0,-612.857601,0
341,14.0,-177.168155,0
342,36.0,-493.397083,0
343,28.0,-361.493684,0
344,20.0,-279.96784,0
345,27.0,-345.442647,0
346,10.0,-149.596394,0
347,23.0,-293.410646,0
348,6.0,-70.263662,0
349,22.0,-274.603277,0
350,42.0,-512.835407,0
351,30.0,-370.652471,0
352,21.0,-321.229118,0
353,28.0,-353.720016,0
354,15.0,-204.846664,0
355,21.0,-207.497966,0
356,22.0,-309.767042,0
357,16.0,-193.42919,0
358,18.0,-217.138138,0
359,20.0,-247.266224,0
360,54.0,-685.170441,0
361,18.0,-243.222891,0
362,28.0,-334.48366,0
363,20.0,-293.199648,0
364,27.0,-367.708432,0
365,43.0,-584.731429,0
366,17.0,-228.419151,0
367,18.0,-230.584337,0
368,5.0,-81.635721,0
369,14.0,-209.50353,0
370,24.0,-359.222131,0
371,21.0,-281.678694,0
372,27.0,-352.164126,0
373,24.0,-320.106092,0
374,11.0,-151.373636,0
375,18.0,-236.699055,0
376,19.0,-257.97721,0
377,26.0,-355.95114,0
378,29.0,-394.784475,0
379,25.0,-334.921626,0
380,21.0,-281.690238,0
381,3.0,-51.591613,0
382,34.0,-445.114684,0
383,18.0,-214.115566,0
384,19.0,-225.974117,0
385,15.0,-205.288475,0
386,29.0,-355.619769,0
387,10.0,-143.073656,0
388,20.0,-238.459336,0
389,11.0,-138.678689,0
390,16.0,-226.723268,0
391,24.0,-326.320439,0
392,8.0,-113.3247,0
393,22.0,-297.335265,0
394,26.0,-343.055178,0
395,18.0,-223.635136,0
396,22.0,-303.145155,0
397,9.0,-108.70389,0
398,23.0,-324.66379,0
399,27.0,-354.337923,0
400,18.0,-269.554194,0
401,15.0,-218.579431,0
402,42.0,-543.713588,0
403,25.0,-328.771469,0
404,15.0,-211.90112,0
405,18.0,-230.276587,0
406,19.0,-238.516727,0
407,11.0,-151.698452,0
408,15.0,-204.702925,0
409,10.0,-136.259998,0
410,12.0,-153.42309,0
411,16.0,-226.705158,0
412,33.0,-402.421601,0
413,16.0,-213.540695,0
414,7.0,-85.262846,0
415,21.0,-274.961382,0
416,16.0,-213.762891,0
417,9.0,-111.035471,0
418,5.0,-74.915775,0
419,33.0,-443.337806,0
420,34.0,-450.462021,0
421,30.0,-351.268372,0
422,16.0,-200.496286,0
423,19.0,-232.409381,0
424,30.0,-356.855135,0
425,22.0,-277.232548,0
426,8.0,-100.241379,0
427,18.0,-239.75153,0
428,14.0,-178.182979,0
429,25.0,-275.359141,0
430,15.0,-198.35714,0
431,17.0,-208.958082,0
432,28.0,-327.907519,0
433,24.0,-293.504248,0
434,30.0,-397.3309,0
435,13.0,-208.321216,0
436,4.0,-59.807492,0
437,20.0,-253.869218,0
438,21.0,-255.221191,0
439,15.0,-187.726423,0
440,9.0,-108.80175,0
441,26.0,-355.856649,0
442,28.0,-346.888897,0
443,18.0,-262.974529,0
444,29.0,-383.859683,0
445,12.0,-179.918426,0
446,35.0,-459.426517,0
447,29.0,-369.043655,0
448,8.0,-100.213863,0
449,17.0,-222.136964,0
450,20.0,-253.729823,0
451,14.0,-190.017369,0
452,9.0,-128.249911,0
453,12.0,-153.721939,0
454,25.0,-328.554044,0
455,24.0,-300.52696,0
456,5.0,-74.951918,0
457,35.0,-434.231545,0
458,30.0,-390.605717,0
459,22.0,-271.064896,0
460,13.0,-181.873918,0
461,29.0,-365.30519,0
462,34.0,-457.431719,0
463,11.0,-186.989173,0
464,17.0,-210.932253,0
465,29.0,-375.892243,0
466,25.0,-348.209666,0
467,16.0,-220.176045,0
468,13.0,-188.548966,0
469,16.0,-220.036615,0
470,39.0,-529.121564,0
471,9.0,-121.930613,0
472,18.0,-243.563557,0
473,28.0,-340.385871,0
474,14.0,-177.021096,0
475,23.0,-285.391108,0
476,15.0,-198.413799,0
477,13.0,-188.093508,0
478,26.0,-330.632752,0
479,13.0,-201.545654,0
480,15.0,-218.261834,0
481,13.0,-181.525001,0
482,13.0,-165.683197,0
483,11.0,-151.681711,0
484,14.0,-183.879932,0
485,24.0,-333.077181,0
486,13.0,-162.048168,0
487,19.0,-251.918145,0
488,5.0,-68.423842,0
489,15.0,-204.973672,0
490,18.0,-224.152814,0
491,11.0,-158.279053,0
492,22.0,-294.277587,0
493,24.0,-260.038486,0
494,15.0,-192.15029,0
495,24.0,-327.034782,0
496,12.0,-166.892473,0
497,33.0,-415.864752,0
498,5.0,-74.967787,0
499,14.0,-170.579013,0
500,21.0,-288.418497,0
501,16.0,-193.754182,0
502,3.0,-40.69874,0
503,18.0,-206.875491,0
504,17.0,-208.228472,0
505,37.0,-464.989696,0
506,38.0,-470.893724,0
507,16.0,-213.282521,0
508,40.0,-498.582946,0
509,19.0,-284.392494,0
510,8.0,-100.180755,0
511,20.0,-237.765608,0
512,24.0,-313.591663,0
513,14.0,-183.323502,0
514,31.0,-385.530416,0
515,21.0,-269.374647,0
516,21.0,-246.759651,0
517,26.0,-342.891457,0
518,33.0,-386.850673,0
519,29.0,-363.805917,0
520,25.0,-309.130369,0
521,8.0,-93.746646,0
522,41.0,-574.372808,0
523,22.0,-276.778882,0
524,23.0,-272.218308,0
525,24.0,-337.536663,0
526,19.0,-255.745152,0
527,9.0,-108.553979,0
528,25.0,-315.535195,0
529,38.0,-466.084686,0
530,17.0,-226.047473,0
531,19.0,-264.903695,0
532,7.0,-98.64037,0
533,45.0,-574.971875,0
534,13.0,-155.439043,0
535,50.0,-538.434119,0
536,17.0,-208.892474,0
537,8.0,-100.167144,0
538,42.0,-540.845668,0
539,3.0,-38.360249,0
540,42.0,-499.667392,0
541,40.0,-522.491056,0
542,49.0,-661.87536,0
543,20.0,-253.844032,0
544,26.0,-330.12934,0
545,40.0,-496.468217,0
546,34.0,-417.70974,0
547,16.0,-206.99203,0
548,16.0,-206.93054,0
549,15.0,-198.325928,0
550,15.0,-212.010093,0
551,22.0,-271.320858,0
552,23.0,-289.256571,0
553,30.0,-405.685661,0
554,20.0,-286.565959,0
555,34.0,-482.487716,0
556,50.0,-624.908493,0
557,35.0,-480.127848,0
558,37.0,-515.215925,0
559,17.0,-215.396986,0
560,35.0,-488.706342,0
561,12.0,-147.035706,0
562,15.0,-179.446023,0
563,34.0,-431.189167,0
564,22.0,-287.817381,0
565,17.0,-235.031996,0
566,43.0,-560.358063,0
567,29.0,-362.070554,0
568,12.0,-160.233948,0
569,33.0,-413.189907,0
570,14.0,-183.542146,0
571,45.0,-611.123577,0
572,29.0,-368.760656,0
573,39.0,-518.433549,0
574,11.0,-145.301417,0
575,16.0,-246.159901,0
576,12.0,-190.347909,0
577,20.0,-240.471594,0
578,5.0,-61.952464,0
579,4.0,-53.515053,0
580,25.0,-306.312258,0
581,32.0,-420.388892,0
582,18.0,-223.872345,0
583,50.0,-516.26469,0
584,22.0,-248.538679,0
585,22.0,-290.344763,0
586,19.0,-236.004904,0
587,48.0,-562.433051,0
588,12.0,-173.398272,0
589,17.0,-202.495621,0
590,19.0,-226.03644,0
591,38.0,-469.136506,0
592,21.0,-268.684845,0
593,34.0,-403.733295,0
594,19.0,-265.31114,0
595,16.0,-193.960581,0
596,43.0,-525.857015,0
597,34.0,-410.749326,0
598,20.0,-279.849794,0
599,35.0,-404.114096,0
600,16.0,-200.266242,0
601,47.0,-609.838138,0
602,32.0,-459.40017,0
603,22.0,-272.899306,0
604,13.0,-161.814926,0
605,42.0,-478.02805,0
606,24.0,-300.2502,0
607,48.0,-587.971933,0
608,20.0,-251.43509,0
609,29.0,-355.612298,0
610,28.0,-373.359414,0
611,22.0,-276.991287,0
612,16.0,-207.299507,0
613,4.0,-46.884181,0
614,32.0,-424.170609,0
615,16.0,-194.090024,0
616,43.0,-577.462163,0
617,31.0,-390.666816,0
618,27.0,-305.794256,0
619,23.0,-305.578332,0
620,11.0,-138.830512,0
621,15.0,-211.594599,0
622,10.0,-143.293196,0
623,37.0,-489.045374,0
624,27.0,-359.17281,0
625,35.0,-504.023632,0
626,53.0,-744.441066,0
627,9.0,-115.37142,0
628,7.0,-78.910905,0
629,23.0,-278.756079,0
630,38.0,-477.156414,0
631,17.0,-202.443541,0
632,17.0,-221.678211,0
633,15.0,-191.927557,0
634,39.0,-494.644438,0
635,16.0,-213.620433,0
636,52.0,-671.37156,0
637,14.0,-183.493292,0
638,42.0,-565.901784,0
639,14.0,-209.324021,0
640,15.0,-185.146222,0
641,14.0,-170.100462,0
642,12.0,-166.710094,0
643,40.0,-500.729667,0
644,25.0,-289.045145,0
645,16.0,-206.75249,0
646,18.0,-206.575114,0
647,30.0,-409.838358,0
648,4.0,-60.138696,0
649,24.0,-280.295857,0
650,9.0,-123.804774,0
651,14.0,-163.809961,0
652,5.0,-55.370113,0
653,7.0,-78.811074,0
654,27.0,-307.868446,0
655,24.0,-273.985808,0
656,12.0,-147.042853,0
657,20.0,-247.167718,0
658,7.0,-85.081397,0
659,19.0,-225.558526,0
660,20.0,-225.164038,0
661,5.0,-48.710412,0
662,35.0,-412.786007,0
663,20.0,-242.814865,0
664,21.0,-240.191747,0
665,7.0,-111.835788,0
666,12.0,-140.296004,0
667,23.0,-298.80944,0
668,22.0,-257.371487,0
669,39.0,-379.602981,0
670,1.0,-8.617199,0
671,9.0,-120.102543,0
672,34.0,-436.735407,0
673,50.0,-588.469321,0
674,14.0,-157.617868,0
675,12.0,-186.414633,0
676,26.0,-323.603363,0
677,8.0,-93.688303,0
678,28.0,-321.22282,0
679,36.0,-460.662349,0
680,45.0,-562.284421,0
681,12.0,-146.95166,0
682,9.0,-95.350016,0
683,8.0,-93.720244,0
684,15.0,-192.050801,0
685,30.0,-357.421656,0
686,14.0,-170.112913,0
687,17.0,-221.60619,0
688,29.0,-349.025254,0
689,11.0,-145.058672,0
690,10.0,-123.759687,0
691,20.0,-227.442505,0
692,36.0,-447.323481,0
693,5.0,-75.029387,0
694,35.0,-460.055697,0
695,8.0,-94.307051,0
696,12.0,-155.696341,0
697,31.0,-354.339936,0
698,27.0,-312.047377,0
699,9.0,-141.323102,0
700,35.0,-471.631057,0
701,14.0,-183.310918,0
702,30.0,-370.784409,0
703,38.0,-466.00209,0
704,36.0,-440.855997,0
705,24.0,-282.5827,0
706,17.0,-188.941483,0
707,13.0,-135.914266,0
708,39.0,-422.050304,0
709,13.0,-175.096789,0
710,27.0,-309.135472,0
